제목,채널명,재생 수,좋아요 수
임영웅 - 다시 만날 수 있을까 (Lim Young Woong - If We Ever Meet Again) MBC 220514 방송,쇼! 음악중심,118634,11890
[전체HL] '피터스-서준원-이대호 맹활약' 롯데 한화에 승리,KBO리그 한화 홈경기 영상,36430,268
이찬원 - 메밀꽃 필 무렵 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,16802,7038
[전체HL] '홍창기 결승타+이재원 홈런' LG KIA에 승리,KBO리그 LG 홈경기 영상,36392,298
[전체HL] '뷰캐넌 완봉승+오재일 투런포' 삼성 두산 꺾고 3연승,KBO리그 삼성 홈경기 영상,39644,389
[MLB TOP5] 5월 14일 명장면,SPOTV_MLB,106000,222
뷰캐넌HL - '시즌 1호 완봉승' 119구 던지며 보여준 완벽투,KBO리그 삼성 홈경기 영상,44530,767
4인의 음색이 만들 낸 단 하나의 목소리💕 대청봉조가 부르는 ＜You And I＞♬ MBC 220514 방송,놀면 뭐하니?,25042,204
김광현HL - '시즌 6승+통산 1500K' 승리의 QS+ 피칭,KBO리그 SSG 홈경기 영상,23111,217
이찬원 - 시절 인연 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,12426,5402
영탁 - 내가 선택한 길 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,9996,4423
'멀티 홈런' 이대호 롯데 팬들을 열광시킨 투런포 / 9회초,KBO리그 한화 홈경기 영상,29206,317
[전체HL] SSG NC에 2-1 한 점 차 승리로 연패 탈출,KBO리그 SSG 홈경기 영상,12536,140
김호중 - 나보다 더 사랑해요 (KIM HO JOONG - I love you more than me),Show Champion,245042,12305
[비하인드] 손흥민 교체 불만 미공개 장면 "콘테가 사과했을 것이다" (토트넘 아스널전),한준TV,83461,192
'휘슬 불기 1초 전' 드라마틱한 동점골을 완성한 세징야 / 후반 45+4분,K LEAGUE 1 네이버스포츠,42085,408
'4년만에 나온 전진우의 선제골!!!' 기쁨의 허공을 가르는 이병근 감독 / 후반 45+1분,K LEAGUE 1 네이버스포츠,20063,251
[14회 선공개] 김희선x이수혁 눈에서 꿀이 뚝뚝🖤🍯 전생 인연 미리보기 MBC 220514 방송,내일,76618,600
이찬원 - 편의점 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,12807,4639
尹 취임 첫 주말 김건희 여사와 백화점·시장 나들이,뉴스는 YTN,21159,39
'3타수 3안타' 피터스 역전 투런포 폭발 / 5회초,KBO리그 한화 홈경기 영상,37044,481
영탁 - 전복 먹으러 갈래 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,7529,4137
[영국방송] 아스날 팬들 분노한 월컷 찬사 "손흥민은 품위 있는 선수" EPL 레전드 분석,한준TV,91569,399
尹대통령 광장시장·백화점서 '첫 주말'…시정연설 뒤 17일 한동훈 임명할 듯,TV조선 뉴스,20317,78
[단독 선공개] 지겨운 인간한테 치이고 김지원이 찾은 해방=손석구│ 〈나의 해방일지〉 5/14(토) 밤 10시 30분,나의 해방일지,151212,2552
[11화 선공개] 단둘이 여행가기로 한 한지민X김우빈! 여행은..당일치기? 일박?! ( ͡° ͜ʖ ͡°),우리들의 블루스,78810,514
장민호 - 회초리 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,2837,1406
김치에 요구르트를! 비법 양념으로 이찬원표 총각김치&파김치 완성★ | KBS 220513 방송,신상출시 편스토랑,84205,6914
[MLB] '결승 3점포+3안타' 김하성 타석 모음,SPOTV_MLB,117155,564
(달수UP슈) 토트넘 아스날 모두 2연승 필요한 상황! 아스날은 센터백 없다!! (달수네라이브),달수네라이브,47731,72
'무사 만루' 최항 실점을 막는 그림 같은 수비 / 6회초,KBO리그 SSG 홈경기 영상,22285,616
이 흥 더는 못 참아💥 흥 폭발한 무대! 앤 해서웨이의 ＜When We Disco＞🎵 MBC 220514 방송,놀면 뭐하니?,22331,96
송혜교가 부르는 ＜...사랑했잖아...＞ & 엠마스톤의 ＜바보에게 바보가＞ MBC 220514 방송,놀면 뭐하니?,6263,36
[PL] 22R 토트넘 vs 아스날 MVP 손흥민,SPOTV_PL,696497,2937
[전체HL] '요키시 8이닝 무실점' 키움 KT 꺾고 위닝시리즈 확보,KBO리그 kt 홈경기 영상,5686,71
환상의 하모니를 만들어 낸 실력자 4인방!🎇 과연 대청봉조의 결과는?! MBC 220514 방송,놀면 뭐하니?,6182,28
소크라테스 단숨에 균형을 맞추는 스리런포 / 6회초,KBO리그 LG 홈경기 영상,29459,360
장민호 - 내 이름 아시죠 | KBS 220514 방송,불후의 명곡2 전설을 노래하다,2157,1147
[플라이 투 더 댄스] 미국 한복판에 뜬 K-댄서! 댄스 버스킹으로 뉴욕부터 LA까지! | 1차 예고,티빙(TVING),59159,182
5월 2주차 1위 임영웅 - 다시 만날 수 있을까 (Lim Young Woong - If We Ever Meet Again) MBC 220514 방송,쇼! 음악중심,16801,4674
＜계속되는 WSG 워너비 조별 경연!＞ 놀면 뭐하니? 138회 예고 MBC 220521 방송,놀면 뭐하니?,8833,48
＂사귑시다 우리!＂ 윤시윤의 고백이 믿기지 않는 배다빈! 오늘부터 1일♥ | KBS 220514 방송,현재는 아름다워,4629,61
